,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
534,횡천면 복지회관,04,경상남도 하동군 횡천면 횡보길 10,35.110085,127.8087485,100,단독,48,,,Y,2,2
535,양보문화센터,04,경상남도 하동군 양보면 운암리 154,35.046651,127.8441555,200,동시,48,,,Y,2,2
536,양보문화센터,04,경상남도 하동군 양보면 운암리 154,35.046651,127.8441555,200,동시,48,,,Y,2,2
537,백무동주차장,04,경상남도 함양군 마천면 강청리 197-3,35.3630808,127.6801809,200,동시,48,,,Y,2,2
538,백무동주차장,04,경상남도 함양군 마천면 강청리 197-3,35.3630808,127.6801809,200,동시,48,,,Y,2,2
539,합천군 농업기술센터,04,경상남도 합천군 합천읍 합천리 863-1,35.56250980,128.15979630,200,동시,48,,,Y,2,2
540,합천군 농업기술센터,04,경상남도 합천군 합천읍 합천리 863-1,35.56250980,128.15979630,200,동시,48,,,Y,2,2
541,야로면사무소,04,경상남도 합천군 야로면 구정리 280-3,35.5567885,128.1668261,200,동시,48,,,Y,2,2
542,야로면사무소,04,경상남도 합천군 야로면 구정리 280-3,35.5567885,128.1668261,200,동시,48,,,Y,2,2
543,황강레포츠공원,04,경상남도 합천군 대양면 정양리 101-9,35.5567885,128.1668261,200,동시,48,,,Y,2,2
544,황강레포츠공원,04,경상남도 합천군 대양면 정양리 101-9,35.5567885,128.1668261,200,동시,48,,,Y,2,2
